month,cool_days,hot_days,demand,imports,exports,rig_count,supply,storage,wti_price,heating_oil,usd_rate,gas_price
2007-04,25.0,374.0,1810079.0,386837.0,50736.0,1461.0,1626673.0,5968611.0,63.98,1.864,0.740806,7.6
2007-05,118.0,118.0,1559080.0,380213.0,62477.0,1464.0,1722549.0,6431710.0,63.46,1.884,0.740041,7.64
2007-06,232.0,28.0,1555226.0,381470.0,57309.0,1483.0,1666465.0,6813786.0,67.49,1.991,0.745371,7.35
2007-07,307.0,7.0,1659882.0,418576.0,70660.0,1486.0,1703237.0,7123259.0,74.12,2.072,0.729018,6.22
2007-08,362.0,9.0,1896137.0,426534.0,61870.0,1492.0,1712771.0,7250170.0,72.36,1.984,0.734203,6.22
2007-09,186.0,50.0,1590484.0,361383.0,65077.0,1475.0,1674745.0,7548786.0,79.92,2.179,0.720104,6.08
2007-10,81.0,183.0,1627791.0,347224.0,63576.0,1435.0,1733373.0,7803634.0,85.8,2.282,0.703086,6.74
2007-11,18.0,522.0,1834529.0,340607.0,86458.0,1451.0,1712314.0,7680213.0,94.77,2.586,0.681929,7.1
2007-12,14.0,798.0,2399154.0,396945.0,101495.0,1468.0,1775203.0,7113475.0,91.69,2.574,0.686845,7.11
2008-01,8.0,886.0,2733970.0,389651.0,109302.0,1421.0,1765447.0,6288037.0,92.97,2.558,0.680153,7.99
2008-02,13.0,730.0,2503421.0,349660.0,99374.0,1426.0,1666095.0,5686255.0,95.39,2.644,0.679571,8.54
2008-03,20.0,611.0,2278151.0,366810.0,100351.0,1444.0,1804065.0,5486589.0,105.45,3.066,0.646066,9.41
2008-04,32.0,326.0,1823867.0,322122.0,74343.0,1461.0,1740229.0,5658650.0,112.58,3.226,0.634241,10.18
2008-05,93.0,189.0,1576387.0,297154.0,68981.0,1478.0,1797917.0,6064975.0,125.4,3.615,0.643417,11.27
2008-06,261.0,30.0,1604249.0,286919.0,61702.0,1510.0,1760998.0,6407107.0,133.88,3.801,0.643168,12.69
2008-07,331.0,7.0,1708641.0,322810.0,63345.0,1543.0,1852724.0,6745390.0,133.37,3.759,0.634992,11.09
2008-08,281.0,15.0,1682924.0,328663.0,67157.0,1581.0,1826392.0,7093832.0,116.67,3.169,0.666246,8.26
2008-09,170.0,56.0,1460924.0,313868.0,55330.0,1585.0,1559028.0,7390883.0,104.11,2.911,0.695786,7.67
2008-10,49.0,284.0,1635827.0,321328.0,66843.0,1542.0,1754251.0,7634355.0,76.61,2.239,0.746894,6.74
2008-11,13.0,535.0,1868947.0,320254.0,90432.0,1498.0,1757942.0,7577456.0,57.31,1.843,0.785321,6.68
2008-12,10.0,826.0,2399702.0,364862.0,106101.0,1380.0,1826966.0,7072657.0,41.12,1.402,0.741668,5.82
2009-01,8.0,951.0,2729715.0,356749.0,112989.0,1215.0,1870465.0,6370028.0,41.71,1.465,0.750006,5.24
2009-02,9.0,694.0,2332539.0,321522.0,103196.0,1037.0,1704919.0,6000888.0,39.09,1.279,0.780884,4.52
2009-03,20.0,578.0,2170709.0,325165.0,103699.0,867.0,1875053.0,5907540.0,47.94,1.277,0.766233,3.96
2009-04,30.0,334.0,1741293.0,321848.0,80016.0,780.0,1783234.0,6165074.0,49.65,1.357,0.758043,3.5
2009-05,118.0,136.0,1504000.0,265793.0,77072.0,723.0,1843327.0,6632164.0,59.03,1.473,0.733619,3.83
2009-06,222.0,44.0,1527833.0,281970.0,66259.0,691.0,1791993.0,7028031.0,69.64,1.747,0.71245,3.8
2009-07,286.0,15.0,1657997.0,316715.0,76273.0,675.0,1827798.0,7353504.0,64.15,1.628,0.71059,3.38
2009-08,303.0,15.0,1736462.0,336848.0,78755.0,691.0,1842284.0,7626392.0,71.05,1.865,0.701414,3.14
2009-09,169.0,62.0,1574975.0,307026.0,83786.0,704.0,1733980.0,7921596.0,69.41,1.728,0.687107,2.99
2009-10,49.0,332.0,1666520.0,273124.0,78092.0,722.0,1814913.0,8091168.0,75.72,1.929,0.675428,4.01
2009-11,18.0,447.0,1776171.0,294918.0,96892.0,734.0,1757520.0,8124989.0,77.99,1.981,0.671407,3.66
2009-12,8.0,871.0,2491864.0,349682.0,115328.0,758.0,1802449.0,7406742.0,74.47,1.968,0.685756,5.35
2010-01,4.0,927.0,2809788.0,384586.0,93570.0,822.0,1824143.0,6579900.0,78.33,2.046,0.700487,5.83
2010-02,3.0,808.0,2480950.0,324124.0,87820.0,892.0,1682869.0,5960953.0,76.39,1.978,0.731961,5.32
2010-03,9.0,551.0,2142925.0,318769.0,99574.0,933.0,1864519.0,5929914.0,81.2,2.083,0.736676,4.29
2010-04,36.0,272.0,1691813.0,298464.0,75938.0,959.0,1813312.0,6289473.0,84.29,2.204,0.744027,4.03
2010-05,128.0,141.0,1617274.0,297801.0,85725.0,960.0,1886476.0,6698983.0,73.74,2.04,0.792661,4.14
2010-06,283.0,31.0,1649515.0,282260.0,90040.0,953.0,1802492.0,7026700.0,75.34,2.032,0.818736,4.8
2010-07,375.0,6.0,1825828.0,328655.0,85851.0,971.0,1896082.0,7253018.0,76.32,1.979,0.783177,4.63
2010-08,351.0,9.0,1878926.0,304901.0,84164.0,983.0,1917995.0,7442861.0,76.6,2.016,0.774916,4.32
2010-09,195.0,53.0,1637491.0,281518.0,79475.0,977.0,1861038.0,7801450.0,75.24,2.09,0.76711,3.89
2010-10,55.0,238.0,1664938.0,294744.0,95974.0,966.0,1956114.0,8155699.0,81.89,2.242,0.719856,3.43
2010-11,15.0,525.0,1973294.0,273165.0,123537.0,950.0,1892658.0,8078136.0,84.25,2.32,0.731627,3.71
2010-12,3.0,901.0,2714054.0,351773.0,135121.0,940.0,1984174.0,7412447.0,89.15,2.468,0.756788,4.25
2011-01,6.0,953.0,2888640.0,371919.0,135721.0,909.0,1952732.0,6608635.0,89.17,2.604,0.749022,4.49
2011-02,10.0,741.0,2452403.0,311154.0,125014.0,907.0,1728929.0,6024215.0,88.58,2.77,0.73281,4.09
2011-03,25.0,581.0,2230493.0,315408.0,144360.0,884.0,2002359.0,5879115.0,102.86,3.034,0.712842,3.97
2011-04,54.0,314.0,1825023.0,277936.0,126374.0,885.0,1960847.0,6092050.0,109.53,3.196,0.692355,4.24
2011-05,107.0,158.0,1667396.0,271252.0,131797.0,878.0,2030695.0,6491219.0,100.9,2.952,0.697695,4.31
2011-06,259.0,39.0,1657334.0,266617.0,119470.0,877.0,1954453.0,6831426.0,96.26,2.967,0.695219,4.54
2011-07,404.0,7.0,1890515.0,293477.0,113280.0,880.0,2032795.0,7075486.0,97.3,3.068,0.698936,4.42
2011-08,350.0,9.0,1891783.0,280284.0,111404.0,894.0,2056617.0,7319424.0,86.33,2.946,0.697978,4.06
2011-09,176.0,57.0,1655634.0,251846.0,126744.0,907.0,1987134.0,7716989.0,85.52,2.921,0.725028,3.9
2011-10,50.0,256.0,1744454.0,282159.0,109513.0,933.0,2118735.0,8105566.0,86.32,2.953,0.7292,3.57
2011-11,18.0,473.0,2031872.0,248908.0,127599.0,880.0,2076152.0,8142609.0,97.16,3.054,0.736589,3.24
2011-12,11.0,724.0,2541878.0,297733.0,134374.0,821.0,2134904.0,7763772.0,98.56,2.891,0.759055,3.17
2012-01,12.0,762.0,2756180.0,281131.0,130464.0,790.0,2152698.0,7219136.0,100.27,3.054,0.775735,2.67
2012-02,13.0,629.0,2500654.0,269906.0,130175.0,723.0,1974431.0,6758315.0,102.2,3.196,0.756182,2.51
2012-03,49.0,381.0,2127761.0,265152.0,141164.0,667.0,2118693.0,6794584.0,106.16,3.217,0.756929,2.17
2012-04,49.0,292.0,1953071.0,243018.0,123150.0,629.0,2044519.0,6936421.0,103.32,3.15,0.759198,1.95
2012-05,155.0,99.0,1873835.0,259023.0,132979.0,600.0,2121367.0,7219444.0,94.66,2.913,0.779815,2.43
2012-06,233.0,32.0,1868356.0,259732.0,125140.0,558.0,2039909.0,7453546.0,82.3,2.619,0.797569,2.46
2012-07,401.0,5.0,2069773.0,281166.0,118367.0,522.0,2162384.0,7588106.0,87.9,2.813,0.812808,2.95
2012-08,328.0,9.0,2008815.0,281350.0,139248.0,487.0,2151742.0,7753994.0,94.13,3.045,0.807143,2.84
2012-09,174.0,61.0,1807208.0,257990.0,137374.0,447.0,2094289.0,8044851.0,94.51,3.134,0.777573,2.85
2012-10,55.0,262.0,1901084.0,253402.0,139930.0,426.0,2168774.0,8294299.0,89.49,3.14,0.770797,3.32
2012-11,14.0,540.0,2167841.0,233853.0,142299.0,421.0,2101833.0,8171574.0,86.53,3.009,0.779581,3.54
2012-12,11.0,699.0,2503907.0,252066.0,158538.0,423.0,2152640.0,7785322.0,87.86,2.995,0.762971,3.34
2013-01,15.0,828.0,2878785.0,278078.0,154442.0,434.0,2136400.0,7076700.0,94.76,3.068,0.75276,3.33
2013-02,11.0,733.0,2567155.0,236875.0,133003.0,426.0,1935275.0,6483370.0,95.31,3.168,0.747541,3.33
2013-03,11.0,660.0,2521108.0,248290.0,148544.0,413.0,2136856.0,6102195.0,92.94,2.943,0.771355,3.81
2013-04,34.0,348.0,1967458.0,220608.0,125771.0,374.0,2094623.0,6236406.0,92.02,2.742,0.768128,4.17
2013-05,100.0,136.0,1752469.0,234183.0,142071.0,353.0,2157048.0,6654641.0,94.51,2.739,0.770194,4.04
2013-06,245.0,26.0,1742917.0,236690.0,133808.0,352.0,2084393.0,7027246.0,95.77,2.752,0.758813,3.83
2013-07,339.0,5.0,1926330.0,236199.0,128612.0,364.0,2196404.0,7302175.0,104.67,2.885,0.764949,3.62
2013-08,288.0,12.0,1927379.0,236248.0,130324.0,386.0,2191677.0,7574293.0,106.57,2.958,0.750628,3.43
2013-09,177.0,59.0,1766973.0,243881.0,122421.0,389.0,2115463.0,7927601.0,106.29,2.961,0.749233,3.62
2013-10,56.0,257.0,1866762.0,220430.0,122406.0,374.0,2192600.0,8181397.0,100.54,2.94,0.733181,3.68
2013-11,18.0,572.0,2316909.0,218693.0,113682.0,366.0,2143606.0,7970919.0,93.86,2.923,0.741217,3.64
